"260 W 52nd St, New York, NY 10019, USA","260","W 52nd St","New York","NY","US","10019",40.7632398,-73.985005

"260 W Broadway, New York, NY 10013, USA","260","W Broadway","New York","NY","US","10013",40.7206119,-74.0056692
"2605 Broadway, New York, NY 10025, USA","2605","Broadway","New York","NY","US","10025",40.7962818,-73.971003
"262 W 22nd St, New York, NY 10011, USA","262","W 22nd St","New York","NY","US","10011",40.7442091,-73.9985025
"262 W 77th St, New York, NY 10024, USA","262","W 77th St","New York","NY","US","10024",40.782539,-73.98159
"264 Broome St, New York, NY 10002, USA","264","Broome St","New York","NY","US","10002",40.7183236,-73.99043859999999
"2644 Broadway, New York, NY 10025, USA","2644","Broadway","New York","NY","US","10025",40.79738799999999,-73.96916
"265 1st Avenue, New York, NY 10003, USA","265","1st Avenue","New York","NY","US","10003",40.7324094,-73.98212219999999
"265 E 78th St, New York, NY 10075, USA","265","E 78th St","New York","NY","US","10075",40.772953,-73.95579730000001
"2655 Broadway, New York, NY 10025, USA","2655","Broadway","New York","NY","US","10025",40.7978355,-73.96978349999999
"266 W 135th St, New York, NY 10030, USA","266","W 135th St","New York","NY","US","10030",40.8159794,-73.9460423
"266 W 72nd St, New York, NY 10023, USA","266","W 72nd St","New York","NY","US","10023",40.7795081,-73.9841761
"267 W 15th St, New York, NY 10011, USA","267","W 15th St","New York","NY","US","10011",40.740366,-74.0015727
"2675 Broadway, New York, NY 10025, USA","2675","Broadway","New York","NY","US","10025",40.79849939999999,-73.9693477
"268 W 145th St, New York, NY 10039, USA","268","W 145th St","New York","NY","US","10039",40.82239080000001,-73.9415472
"270 St Nicholas Ave, Brooklyn, NY 11237, USA","270","St Nicholas Ave","undefined","NY","US","11237",40.701909,-73.91271499999999
"2707 Frederick Douglass Blvd, New York, NY 10030, USA","2707","Frederick Douglass Blvd","New York","NY","US","10030",40.822188,-73.9427284
"271 Sherman Ave, New York, NY 10034, USA","271","Sherman Ave","New York","NY","US","10034",40.8659452,-73.9187724
"2714 Frederick Douglass Blvd, New York, NY 10030, USA","2714","Frederick Douglass Blvd","New York","NY","US","10030",40.8222641,-73.9419405
"272 E 3rd St, New York, NY 10009, USA","272","E 3rd St","New York","NY","US","10009",40.72141,-73.98052539999999
"2725 Broadway, Brooklyn, NY 11207, USA","2725","Broadway","undefined","NY","US","11207",40.67712480000001,-73.9003678
"2749 Broadway, Brooklyn, NY 11207, USA","2749","Broadway","undefined","NY","US","11207",40.67712480000001,-73.9003678
"275 Greenwich St, New York, NY 10007, USA","275","Greenwich St","New York","NY","US","10007",40.71516280000001,-74.0108719
"2766 Broadway, Brooklyn, NY 11207, USA","2766","Broadway","undefined","NY","US","11207",40.677102,-73.90039039999999
"2783 Broadway, Brooklyn, NY 11207, USA","2783","Broadway","undefined","NY","US","11207",40.67712480000001,-73.9003678
"2785 Broadway, Brooklyn, NY 11207, USA","2785","Broadway","undefined","NY","US","11207",40.67712480000001,-73.9003678
"2785 Frederick Douglass Blvd, New York, NY 10039, USA","2785","Frederick Douglass Blvd","New York","NY","US","10039",40.8247235,-73.94091689999999
"28 E 22nd St, New York, NY 10010, USA","28","E 22nd St","New York","NY","US","10010",40.73983199999999,-73.98816699999999
"28 Orchard St, New York, NY 10002, USA","28","Orchard St","New York","NY","US","10002",40.7155309,-73.9913029
"280 3rd Ave, New York, NY 10010, USA","280","3rd Ave","New York","NY","US","10010",40.738135,-73.9839671
"2815 Frederick Douglass Blvd, New York, NY 10039, USA","2815","Frederick Douglass Blvd","New York","NY","US","10039",40.8259529,-73.93998830000001
"282 11th Ave, New York, NY 10001, USA","282","11th Ave","New York","NY","US","10001",40.7522422,-74.004166
"282 Audubon Ave, New York, NY 10033, USA","282","Audubon Ave","New York","NY","US","10033",40.8477195,-73.9333971
"2823 Broadway, Brooklyn, NY 11207, USA","2823","Broadway","undefined","NY","US","11207",40.67712480000001,-73.9003678
"285 Amsterdam Ave, New York, NY 10023, USA","285","Amsterdam Ave","New York","NY","US","10023",40.7795163,-73.98074249999999
"286 E 10th St, New York, NY 10009, USA","286","E 10th St","New York","NY","US","10009",40.7279297,-73.9828455
"2881 Broadway, Brooklyn, NY 11207, USA","2881","Broadway","undefined","NY","US","11207",40.67712480000001,-73.9003678
"29 John St, New York, NY 10038, USA","29","John St","New York","NY","US","10038",40.70975789999999,-74.0085458
"29 W 21st St, New York, NY 10010, USA","29","W 21st St","New York","NY","US","10010",40.74111039999999,-73.9919744
"291 Mercer St, New York, NY 10003, USA","291","Mercer St","New York","NY","US","10003",40.7302074,-73.9939991
"2916 Frederick Douglass Blvd, New York, NY 10039, USA","2916","Frederick Douglass Blvd","New York","NY","US","10039",40.8285513,-73.9373298
"292 8th Ave, New York, NY 10001, USA","292","8th Ave","New York","NY","US","10001",40.7463231,-73.9974372
"293 Amsterdam Ave, New York, NY 10023, USA","293","Amsterdam Ave","New York","NY","US","10023",40.7797466,-73.9806162
"296 West 4th Street, New York, NY 10014, USA","296","West 4th Street","New York","NY","US","10014",40.7366793,-74.0038185
"297 E 84th St, New York, NY 10028, USA","297","E 84th St","New York","NY","US","10028",40.77661669999999,-73.9527926
"297 Park Ave S, New York, NY 10010, USA","297","Park Ave S","New York","NY","US","10010",40.73987839999999,-73.98632409999999
"298 Mulberry St, New York, NY 10012, USA","298","Mulberry St","New York","NY","US","10012",40.7251339,-73.9945784
"299 Broadway, Brooklyn, NY 11211, USA","299","Broadway","undefined","NY","US","11211",40.7085149,-73.9576527
"299 Broome St, New York, NY 10002, USA","299","Broome St","New York","NY","US","10002",40.7185251,-73.9922332
"299 E 11th St, New York, NY 10003, USA","299","E 11th St","New York","NY","US","10003",40.7303486,-73.98602029999999
"30 Ann St, New York, NY 10038, USA","30","Ann St","New York","NY","US","10038",40.7106473,-74.0076802
"30 Cornelia St, Brooklyn, NY 11221, USA","30","Cornelia St","undefined","NY","US","11221",40.688009,-73.91727
"30 E 13th St, New York, NY 10003, USA","30","E 13th St","New York","NY","US","10003",40.7345991,-73.9928335
"30 E 81st St, New York, NY 10028, USA","30","E 81st St","New York","NY","US","10028",40.77731379999999,-73.9608621
"30 River Rd, New York, NY 10044, USA","30","River Rd","New York","NY","US","10044",40.7659837,-73.9469963
"30 Rockefeller Plaza, New York, NY 10112, USA","30","Rockefeller Plaza","New York","NY","US","10112",40.7589632,-73.97933739999999
"30 University Pl, New York, NY 10003, USA","30","University Pl","New York","NY","US","10003",40.7319402,-73.99467159999999
"300 E 40th St, New York, NY 10016, USA","300","E 40th St","New York","NY","US","10016",40.7480791,-73.9730072
"300 E 69th St, New York, NY 10065, USA","300","E 69th St","New York","NY","US","10065",40.76667700000001,-73.95960219999999
"300 E 81st St, New York, NY 10028, USA","300","E 81st St","New York","NY","US","10028",40.77442619999999,-73.9538197
"300 E 82nd St, New York, NY 10028, USA","300","E 82nd St","New York","NY","US","10028",40.7750727,-73.9534283
"300 E 91st St, New York, NY 10128, USA","300","E 91st St","New York","NY","US","10128",40.78083299999999,-73.94922129999999
"300 Rector Pl, New York, NY 10280, USA","300","Rector Pl","New York","NY","US","10280",40.7089922,-74.0173477
